,year,sex,country,cause_death_code,age,age_range,count_deaths
0,2010,Male,Belarus,1095,Deaths9,15-19 years,251
1,2010,Male,Belarus,1095,Deaths10,20-24 years,617
2,2010,Male,Belarus,1095,Deaths11,25-29 years,678
3,2010,Male,Belarus,1095,Deaths12,30-34 years,809
4,2010,Male,Belarus,1095,Deaths13,35-39 years,962
5,2010,Male,Belarus,1095,Deaths14,40-44 years,1122
6,2010,Male,Belarus,1095,Deaths15,45-49 years,1486
7,2010,Male,Belarus,1095,Deaths16,50-54 years,1625
8,2010,Male,Belarus,1095,Deaths17,55-59 years,1190
9,2010,Male,Belarus,1095,Deaths18,60-64 years,932
10,2010,Male,Belarus,1095,Deaths19,65-69 years,467
11,2010,Male,Belarus,1095,Deaths20,70-74 years,475
12,2010,Male,Belarus,1095,Deaths21,75-79 years,259
13,2010,Male,Belarus,1095,Deaths22,80-84 years,176
14,2010,Female,Belarus,1095,Deaths11,25-29 years,121
15,2010,Female,Belarus,1095,Deaths12,30-34 years,151
16,2010,Female,Belarus,1095,Deaths13,35-39 years,194
17,2010,Female,Belarus,1095,Deaths14,40-44 years,205
18,2010,Female,Belarus,1095,Deaths15,45-49 years,291
19,2010,Female,Belarus,1095,Deaths16,50-54 years,354
20,2010,Female,Belarus,1095,Deaths17,55-59 years,329
21,2010,Female,Belarus,1095,Deaths18,60-64 years,260
22,2010,Female,Belarus,1095,Deaths19,65-69 years,191
23,2010,Female,Belarus,1095,Deaths20,70-74 years,206
24,2010,Female,Belarus,1095,Deaths21,75-79 years,182
25,2010,Female,Belarus,1095,Deaths22,80-84 years,201
26,2010,Female,Belarus,1095,Deaths23,85-89 years,109
27,2010,Male,Belarus,1096,Deaths10,20-24 years,151
28,2010,Male,Belarus,1096,Deaths11,25-29 years,120
29,2010,Male,Belarus,1096,Deaths14,40-44 years,104
30,2010,Male,Belarus,1096,Deaths15,45-49 years,116
31,2010,Male,Belarus,1096,Deaths16,50-54 years,122
32,2010,Male,Belarus,1097,Deaths15,45-49 years,101
33,2010,Male,Belarus,1097,Deaths16,50-54 years,116
34,2010,Male,Belarus,1097,Deaths18,60-64 years,100
35,2010,Male,Belarus,1098,Deaths10,20-24 years,106
36,2010,Male,Belarus,1098,Deaths11,25-29 years,108
37,2010,Male,Belarus,1098,Deaths13,35-39 years,130
38,2010,Male,Belarus,1098,Deaths14,40-44 years,138
39,2010,Male,Belarus,1098,Deaths15,45-49 years,142
40,2010,Male,Belarus,1098,Deaths16,50-54 years,120
41,2010,Male,Belarus,1100,Deaths12,30-34 years,163
42,2010,Male,Belarus,1100,Deaths13,35-39 years,243
43,2010,Male,Belarus,1100,Deaths14,40-44 years,296
44,2010,Male,Belarus,1100,Deaths15,45-49 years,438
45,2010,Male,Belarus,1100,Deaths16,50-54 years,490
46,2010,Male,Belarus,1100,Deaths17,55-59 years,315
47,2010,Male,Belarus,1100,Deaths18,60-64 years,289
48,2010,Male,Belarus,1100,Deaths19,65-69 years,124
49,2010,Female,Belarus,1100,Deaths16,50-54 years,129
50,2010,Female,Belarus,1100,Deaths17,55-59 years,119
51,2010,Male,Belarus,1101,Deaths10,20-24 years,160
52,2010,Male,Belarus,1101,Deaths11,25-29 years,180
53,2010,Male,Belarus,1101,Deaths12,30-34 years,202
54,2010,Male,Belarus,1101,Deaths13,35-39 years,184
55,2010,Male,Belarus,1101,Deaths14,40-44 years,193
56,2010,Male,Belarus,1101,Deaths15,45-49 years,259
57,2010,Male,Belarus,1101,Deaths16,50-54 years,233
58,2010,Male,Belarus,1101,Deaths17,55-59 years,187
59,2010,Male,Belarus,1101,Deaths18,60-64 years,101
60,2010,Male,Belarus,1103,Deaths11,25-29 years,107
61,2010,Male,Belarus,1103,Deaths12,30-34 years,144
62,2010,Male,Belarus,1103,Deaths13,35-39 years,186
63,2010,Male,Belarus,1103,Deaths14,40-44 years,242
64,2010,Male,Belarus,1103,Deaths15,45-49 years,323
65,2010,Male,Belarus,1103,Deaths16,50-54 years,436
66,2010,Male,Belarus,1103,Deaths17,55-59 years,368
67,2010,Male,Belarus,1103,Deaths18,60-64 years,308
68,2010,Male,Belarus,1103,Deaths19,65-69 years,128
69,2010,Male,Belarus,1103,Deaths20,70-74 years,131
70,2011,Male,Belarus,1095,Deaths9,15-19 years,177
71,2011,Male,Belarus,1095,Deaths10,20-24 years,497
72,2011,Male,Belarus,1095,Deaths11,25-29 years,704
73,2011,Male,Belarus,1095,Deaths12,30-34 years,795
74,2011,Male,Belarus,1095,Deaths13,35-39 years,926
75,2011,Male,Belarus,1095,Deaths14,40-44 years,1034
76,2011,Male,Belarus,1095,Deaths15,45-49 years,1255
77,2011,Male,Belarus,1095,Deaths16,50-54 years,1616
78,2011,Male,Belarus,1095,Deaths17,55-59 years,1215
79,2011,Male,Belarus,1095,Deaths18,60-64 years,989
80,2011,Male,Belarus,1095,Deaths19,65-69 years,439
81,2011,Male,Belarus,1095,Deaths20,70-74 years,403
82,2011,Male,Belarus,1095,Deaths21,75-79 years,247
83,2011,Male,Belarus,1095,Deaths22,80-84 years,153
84,2011,Female,Belarus,1095,Deaths11,25-29 years,103
85,2011,Female,Belarus,1095,Deaths12,30-34 years,145
86,2011,Female,Belarus,1095,Deaths13,35-39 years,157
87,2011,Female,Belarus,1095,Deaths14,40-44 years,205
88,2011,Female,Belarus,1095,Deaths15,45-49 years,230
89,2011,Female,Belarus,1095,Deaths16,50-54 years,352
90,2011,Female,Belarus,1095,Deaths17,55-59 years,362
91,2011,Female,Belarus,1095,Deaths18,60-64 years,281
92,2011,Female,Belarus,1095,Deaths19,65-69 years,152
93,2011,Female,Belarus,1095,Deaths20,70-74 years,223
94,2011,Female,Belarus,1095,Deaths21,75-79 years,171
95,2011,Female,Belarus,1095,Deaths22,80-84 years,149
96,2011,Female,Belarus,1095,Deaths23,85-89 years,120
97,2011,Male,Belarus,1096,Deaths10,20-24 years,112
98,2011,Male,Belarus,1096,Deaths11,25-29 years,142
99,2011,Male,Belarus,1096,Deaths12,30-34 years,117
100,2011,Male,Belarus,1096,Deaths13,35-39 years,102
101,2011,Male,Belarus,1096,Deaths14,40-44 years,103
102,2011,Male,Belarus,1096,Deaths15,45-49 years,105
103,2011,Male,Belarus,1096,Deaths16,50-54 years,129
104,2011,Male,Belarus,1097,Deaths16,50-54 years,107
105,2011,Male,Belarus,1100,Deaths16,50-54 years,122
106,2011,Male,Belarus,1100,Deaths17,55-59 years,103
107,2011,Male,Belarus,1101,Deaths10,20-24 years,133
108,2011,Male,Belarus,1101,Deaths11,25-29 years,174
