,cause,cause_desc
0,B25,Cytomegaloviral disease
1,B54,Unspecified malaria
2,C4A8,Merkel cell carcinoma of overlapping sites
3,C5022,"Malignant neoplasm of upper-inner quadrant of breast, male"
4,D165,Benign neoplasm of lower jaw bone
5,D66,Hereditary factor VIII deficiency
6,E0864,Diabetes mellitus due to underlying condition with hypoglycemia
7,E13341,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
8,F1396,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
9,F1927,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia
10,G448,Other specified headache syndromes
11,H018,Other specified inflammations of eyelid
12,H1001,Acute follicular conjunctivitis
13,H540X4,"Blindness right eye, category 4"
14,H7020,Unspecified petrositis
15,I48,Atrial fibrillation and flutter
16,I8389,Varicose veins of lower extremities with other complications
17,I95,Hypotension
18,I9719,Other postprocedural cardiac functional disturbances
19,K30,Functional dyspepsia
20,M054,Rheumatoid myopathy with rheumatoid arthritis
21,M1247,"Intermittent hydrarthrosis, ankle and foot"
22,M161,Unilateral primary osteoarthritis of hip
23,M248,"Other specific joint derangements, not elsewhere classified"
24,M2555,Pain in hip
25,M317,Microscopic polyangiitis
26,M469,Unspecified inflammatory spondylopathy
27,M513,"Other thoracic, thoracolumbar and lumbosacral intervertebral disc degeneration"
28,M6257,"Muscle wasting and atrophy, not elsewhere classified, ankle and foot"
29,M638,Disorders of muscle in diseases classified elsewhere
30,M6385,"Disorders of muscle in diseases classified elsewhere, thigh"
31,M7118,"Other infective bursitis, other site"
32,M719,"Bursopathy, unspecified"
33,N602,Fibroadenosis of breast
34,O2433,Unspecified pre-existing diabetes mellitus in the puerperium
35,O2683,Pregnancy related renal disease
36,O2912,Cardiac failure due to anesthesia during pregnancy
37,O8881,Other embolism in pregnancy
38,O9A53,Psychological abuse complicating the puerperium
39,Q554,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate"
40,Q723,Congenital absence of foot and toe(s)
41,Q898,Other specified congenital malformations
42,Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
43,R40211,"Coma scale, eyes open, never"
44,R4585,Homicidal and suicidal ideations
45,R935,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
46,S04811,"Injury of olfactory [1st ] nerve, right side"
47,S11014,Puncture wound with foreign body of larynx
48,F459,"Somatoform disorder, unspecified"
49,F64,Gender identity disorders
50,G63,Polyneuropathy in diseases classified elsewhere
51,H0100,Unspecified blepharitis
52,H0271,Chloasma of eyelid and periocular area
53,H1505,Scleromalacia perforans
54,H2125,Iridoschisis
55,H606,Unspecified chronic otitis externa
56,I01,Rheumatic fever with heart involvement
57,I662,Occlusion and stenosis of posterior cerebral artery
58,I7022,Atherosclerosis of native arteries of extremities with rest pain
59,J81,Pulmonary edema
60,K136,Irritative hyperplasia of oral mucosa
61,L0389,Acute lymphangitis of other sites
62,L9721,Non-pressure chronic ulcer of right calf
63,M1A422,"Other secondary chronic gout, left elbow"
64,M261,Anomalies of jaw-cranial base relationship
65,M8979,"Major osseous defect, multiple sites"
66,M924,Juvenile osteochondrosis of patella
67,N608,Other benign mammary dysplasias
68,O035,Genital tract and pelvic infection following complete or unspecified spontaneous abortion
69,O4292,"Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor"
70,Q532,"Undescended testicle, bilateral"
71,R509,"Fever, unspecified"
72,R77,Other abnormalities of plasma proteins
73,R93,Abnormal findings on diagnostic imaging of other body structures
74,S00251,Superficial foreign body of right eyelid and periocular area
75,A804,Acute nonparalytic poliomyelitis
76,B02,Zoster [herpes zoster]
77,B086,Parapoxvirus infections
78,C944,Acute panmyelosis with myelofibrosis
79,D312,Benign neoplasm of retina
80,D611,Drug-induced aplastic anemia
81,D729,"Disorder of white blood cells, unspecified"
82,E059,"Thyrotoxicosis, unspecified"
83,F1423,Cocaine dependence with withdrawal
84,F161,Hallucinogen abuse
85,F1924,Other psychoactive substance dependence with psychoactive substance-induced mood disorder
86,H4453,Leucocoria
87,H532,Diplopia
88,H5346,Homonymous bilateral field defects
89,I260,Pulmonary embolism with acute cor pulmonale
90,I52,Other heart disorders in diseases classified elsewhere
91,I7052,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain
92,I76,Septic arterial embolism
93,J983,Compensatory emphysema
94,K514,Inflammatory polyps of colon
95,M052,Rheumatoid vasculitis with rheumatoid arthritis
96,M0624,"Rheumatoid bursitis, hand"
97,M0887,"Other juvenile arthritis, ankle and foot"
98,M0893,"Juvenile arthritis, unspecified, wrist"
99,M120,Chronic postrheumatic arthropathy [Jaccoud]
100,M206,"Acquired deformities of toe(s), unspecified"
101,M6138,"Calcification and ossification of muscles associated with burns, other site"
102,M6241,"Contracture of muscle, shoulder"
103,M6511,"Other infective (teno)synovitis, shoulder"
104,M7132,"Other bursal cyst, elbow"
105,M8713,"Osteonecrosis due to drugs of radius, ulna and carpus"
106,M9220,"Unspecified juvenile osteochondrosis, hand"
107,N850,Endometrial hyperplasia
108,N859,"Noninflammatory disorder of uterus, unspecified"
109,O152,Eclampsia complicating the puerperium
110,O269,"Pregnancy related conditions, unspecified"
111,O9813,Syphilis complicating the puerperium
112,O9972,Diseases of the skin and subcutaneous tissue complicating childbirth
113,P920,Vomiting of newborn
114,R23,Other skin changes
115,R942,Abnormal results of pulmonary function studies
116,S01452,Open bite of left cheek and temporomandibular area
117,S02112,"Type III occipital condyle fracture, unspecified side"
118,S0992,Unspecified injury of nose
119,A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
120,D073,Carcinoma in situ of other and unspecified female genital organs
121,D648,Other specified anemias
122,E09341,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
123,F1193,"Opioid use, unspecified with withdrawal"
124,F1418,Cocaine abuse with other cocaine-induced disorder
125,F309,"Manic episode, unspecified"
126,G472,Circadian rhythm sleep disorders
127,H4988,Other paralytic strabismus
128,H812,Vestibular neuronitis
129,K040,Pulpitis
130,K0854,Contour of existing restoration of tooth biologically incompatible with oral health
131,K088,Other specified disorders of teeth and supporting structures
132,K523,Indeterminate colitis
133,M1484,"Arthropathies in other specified diseases classified elsewhere, hand"
134,M2117,"Varus deformity, not elsewhere classified, ankle"
135,M2162,Bunionette
136,M84411,"Pathological fracture, right shoulder"
137,M8504,"Fibrous dysplasia (monostotic), hand"
138,N43,Hydrocele and spermatocele
139,N839,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
140,N9481,Vulvodynia
141,O2352,Salpingo-oophoritis in pregnancy
142,O600,Preterm labor without delivery
143,O923,Agalactia
144,S01122,Laceration with foreign body of left eyelid and periocular area
145,S01311,Laceration without foreign body of right ear
146,S0341,"Sprain of jaw, right side"
147,S058X2,Other injuries of left eye and orbit
148,S062X4,Diffuse traumatic brain injury with loss of consciousness of 6 hours to 24 hours
149,S0920,Traumatic rupture of unspecified ear drum
150,A182,Tuberculous peripheral lymphadenopathy
151,A69,Other spirochetal infections
152,C5091,"Malignant neoplasm of breast of unspecified site, female"
153,C571,Malignant neoplasm of broad ligament
154,C578,Malignant neoplasm of overlapping sites of female genital organs
155,C783,Secondary malignant neoplasm of other and unspecified respiratory organs
156,D038,Melanoma in situ of other sites
157,D106,Benign neoplasm of nasopharynx
158,F1628,Hallucinogen dependence with other hallucinogen-induced disorder
159,F1822,Inhalant dependence with intoxication
160,H1642,Pannus (corneal)
161,H3536,Drusen (degenerative) of macula
162,H5033,Intermittent monocular exotropia
163,K114,Fistula of salivary gland
164,M1486,"Arthropathies in other specified diseases classified elsewhere, knee"
165,M5082,"Other cervical disc disorders, mid-cervical region"
166,M8587,"Other specified disorders of bone density and structure, ankle and foot"
167,M8627,"Subacute osteomyelitis, ankle and foot"
168,M9422,"Chondromalacia, elbow"
169,O318X1,"Other complications specific to multiple gestation, first trimester"
170,O86,Other puerperal infections
171,O9832,Other infections with a predominantly sexual mode of transmission complicating childbirth
172,O9881,Other maternal infectious and parasitic diseases complicating pregnancy
173,Q500,Congenital absence of ovary
174,R43,Disturbances of smell and taste
175,S11021,Laceration without foreign body of trachea
176,B89,Unspecified parasitic disease
177,C698,Malignant neoplasm of overlapping sites of eye and adnexa
178,D231,"Other benign neoplasm of skin of eyelid, including canthus"
179,E09349,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
180,E360,Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating a procedure
181,F1225,Cannabis dependence with psychotic disorder
182,F4022,Natural environment type phobia
183,H355,Hereditary retinal dystrophy
184,H5018,Alternating exotropia with other noncomitancies
185,H90A3,"Mixed conductive and sensorineural hearing loss, unilateral with restricted hearing on the contralateral side"
186,H919,Unspecified hearing loss
187,I27,Other pulmonary heart diseases
188,I446,Other and unspecified fascicular block
189,J42,Unspecified chronic bronchitis
190,L088,Other specified local infections of the skin and subcutaneous tissue
191,M0016,"Pneumococcal arthritis, knee"
192,M1A362,"Chronic gout due to renal impairment, left knee"
193,M2452,"Contracture, elbow"
194,M2511,"Fistula, shoulder"
195,M6243,"Contracture of muscle, forearm"
196,M625,"Muscle wasting and atrophy, not elsewhere classified"
197,M6624,"Spontaneous rupture of extensor tendons, hand"
198,M7087,"Other soft tissue disorders related to use, overuse and pressure of ankle and foot"
199,M8584,"Other specified disorders of bone density and structure, hand"
200,M895,Osteolysis
201,O037,Embolism following complete or unspecified spontaneous abortion
202,O709,"Perineal laceration during delivery, unspecified"
203,O8822,Thromboembolism in childbirth
204,O9921,"Obesity complicating pregnancy, childbirth, and the puerperium"
205,P02,"Newborn affected by complications of placenta, cord and membranes"
206,P045,Newborn affected by maternal use of nutritional chemical substances
207,P243,Neonatal aspiration of milk and regurgitated food
208,P836,Umbilical polyp of newborn
209,Q070,Arnold-Chiari syndrome
210,Q559,"Congenital malformation of male genital organ, unspecified"
211,R20,Disturbances of skin sensation
212,R39,Other and unspecified symptoms and signs involving the genitourinary system
213,S06319,Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration
214,S06379,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration"
215,C913,Prolymphocytic leukemia of B-cell type
